"","Ethnicity","Title","Gender","Employee Age","Participated","Retained","HOME ORG CODE","Years of Service","Strata","Deidentified ID","title_status","Age","title_binary","strata_binary_10_15","strata_binary_5_10","strata_binary_less_5","strata_binary_greater_15","ethnicity_binary_african_am","ethnicity_binary_caucasian","ethnicity_binary_asian","ethnicity_binary_latina","ethnicity_binary_other","gender_binary_female","gender_binary_male","employeeage","HomeOrgCode","YearsOfService"
"1","CAUCASIAN","TEACHER,FULL TIME","M",51,0,"0","4060",16,"greater than or equal to 15",100,"teacher","50s",1,0,0,0,1,0,1,0,0,0,0,1,51,"4060",16
"2","CAUCASIAN","TEACHER,FULL TIME","F",48,0,"1","7150",21,"greater than or equal to 15",100008,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,48,"7150",21
"3","CAUCASIAN","TEACHER,FULL TIME","F",65,0,"0","7150",18,"greater than or equal to 15",10004,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,65,"7150",18
"4","CAUCASIAN","TEACHER,FULL TIME","F",57,0,"1","5340",31,"greater than or equal to 15",100068,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,57,"5340",31
"5","AFRICAN AM","TEACHER,FULL TIME","F",42,0,"1","6470",18,"greater than or equal to 15",100096,"teacher","40s",1,0,0,0,1,1,0,0,0,0,1,0,42,"6470",18
"6","CAUCASIAN","TEACHER,FULL TIME","F",49,0,"0","8260",25,"greater than or equal to 15",100116,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,49,"8260",25
"7","AFRICAN AM","TEACHER,FULL TIME","F",56,0,"1","8440",31,"greater than or equal to 15",100136,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,56,"8440",31
"8","AFRICAN AM","TEACHER,FULL TIME","F",54,0,"1","7390",29,"greater than or equal to 15",100156,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,54,"7390",29
"9","AFRICAN AM","TEACHER,DEMONSTRATION","F",46,0,"1","8770",24,"greater than or equal to 15",100168,"non_classroom_teacher","40s",0,0,0,0,1,1,0,0,0,0,1,0,46,"8770",24
"10","AFRICAN AM","TEACHER,FULL TIME","F",42,0,"1","1460",20,"greater than or equal to 15",100188,"teacher","40s",1,0,0,0,1,1,0,0,0,0,1,0,42,"1460",20
"11","CAUCASIAN","TEACHER,FULL TIME","F",45,0,"1","2261",20,"greater than or equal to 15",100192,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,45,"2261",20
"12","CAUCASIAN","TEACHER,FULL TIME","M",48,0,"1","8090",1,"less than 5",100236,"teacher","40s",1,0,0,1,0,0,1,0,0,0,0,1,48,"8090",1
"13","CAUCASIAN","TEACHER,FULL TIME","F",44,0,"1","6450",22,"greater than or equal to 15",100240,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,44,"6450",22
"14","CAUCASIAN","TEACHER,FULL TIME","F",43,0,"1","8160",18,"greater than or equal to 15",100276,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,43,"8160",18
"15","LATINA/O","TEACHER,FULL TIME","F",40,0,"0","6350",15,"greater than or equal to 15",100292,"teacher","40s",1,0,0,0,1,0,0,0,1,0,1,0,40,"6350",15
"16","AFRICAN AM","TEACHER,FULL TIME","M",51,0,"1","7370",21,"greater than or equal to 15",100296,"teacher","50s",1,0,0,0,1,1,0,0,0,0,0,1,51,"7370",21
"17","CAUCASIAN","TEACHER,FULL TIME","M",54,0,"1","6010",26,"greater than or equal to 15",100304,"teacher","50s",1,0,0,0,1,0,1,0,0,0,0,1,54,"6010",26
"18","CAUCASIAN","TEACHER,FULL TIME","F",49,0,"1","6300",21,"greater than or equal to 15",100316,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,49,"6300",21
"19","CAUCASIAN","TEACHER,SPEC EDUCATION","F",41,0,"1","2020",18,"greater than or equal to 15",100320,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,41,"2020",18
"20","CAUCASIAN","TEACHER,FULL TIME","M",45,0,"1","2410",21,"greater than or equal to 15",100328,"teacher","40s",1,0,0,0,1,0,1,0,0,0,0,1,45,"2410",21
"21","CAUCASIAN","TEACHER,FULL TIME","F",48,0,"1","2540",24,"greater than or equal to 15",100336,"teacher","40s",1,0,0,0,1,0,1,0,0,0,1,0,48,"2540",24
"22","CAUCASIAN","TEACHER,FULL TIME","M",48,0,"1","8020",24,"greater than or equal to 15",100340,"teacher","40s",1,0,0,0,1,0,1,0,0,0,0,1,48,"8020",24
"23","CAUCASIAN","TEACHER,FULL TIME","M",59,0,"1","6050",19,"greater than or equal to 15",10036,"teacher","50s",1,0,0,0,1,0,1,0,0,0,0,1,59,"6050",19
"24","AFRICAN AM","TEACHER,FULL TIME","F",54,0,"1","9EW0",18,"greater than or equal to 15",1004,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,54,"9EW0",18
"25","CAUCASIAN","TEACHER,FULL TIME","M",45,0,"1","8090",20,"greater than or equal to 15",100412,"teacher","40s",1,0,0,0,1,0,1,0,0,0,0,1,45,"8090",20
"26","CAUCASIAN","TEACHER,FULL TIME","M",61,0,"0","4460",18,"greater than or equal to 15",100432,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,61,"4460",18
"27","CAUCASIAN","TEACHER,FULL TIME","F",55,0,"1","7500",32,"greater than or equal to 15",10044,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,55,"7500",32
"28","CAUCASIAN","TEACHER,SPEC EDUCATION","F",60,0,"0","7400",16,"greater than or equal to 15",10052,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,60,"7400",16
"29","CAUCASIAN","PRE-K REGIONAL INSTRUCTION SPE","M",61,0,"0","9150",19,"greater than or equal to 15",10056,"non_classroom_teacher","60s",0,0,0,0,1,0,1,0,0,0,0,1,61,"9150",19
"30","CAUCASIAN","TEACHER,FULL TIME","M",68,0,"0","8020",30,"greater than or equal to 15",100668,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,68,"8020",30
"31","CAUCASIAN","TEACHER,FULL TIME","F",61,0,"0","8250",36,"greater than or equal to 15",100700,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,61,"8250",36
"32","CAUCASIAN","TEACHER,SPEC EDUCATION","F",58,0,"0","6410",34,"greater than or equal to 15",100704,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,58,"6410",34
"33","CAUCASIAN","TEACHER,SPEC EDUCATION","F",59,0,"1","2470",32,"greater than or equal to 15",100708,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,59,"2470",32
"34","CAUCASIAN","TEACHER,SPEC EDUCATION","M",64,0,"1","2000",26,"greater than or equal to 15",100724,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,64,"2000",26
"35","AFRICAN AM","DEPARTMENT HEAD","F",58,0,"0","6070",21,"greater than or equal to 15",100736,"non_classroom_teacher","50s",0,0,0,0,1,1,0,0,0,0,1,0,58,"6070",21
"36","AFRICAN AM","TEACHER,FULL TIME","F",58,0,"0","4140",35,"greater than or equal to 15",100740,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,58,"4140",35
"37","AFRICAN AM","TEACHER,SPEC EDUCATION","F",62,0,"1","6350",32,"greater than or equal to 15",100744,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,62,"6350",32
"38","CAUCASIAN","TEACHER,FULL TIME","F",61,0,"0","8030",19,"greater than or equal to 15",10076,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,61,"8030",19
"39","AFRICAN AM","TEACHER,FULL TIME","F",60,0,"0","4390",24,"greater than or equal to 15",100768,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,60,"4390",24
"40","AFRICAN AM","TEACHER,FULL TIME","F",62,0,"0","6220",17,"greater than or equal to 15",100772,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,62,"6220",17
"41","CAUCASIAN","TEACHER,FULL TIME","F",60,0,"0","8310",33,"greater than or equal to 15",100780,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,60,"8310",33
"42","CAUCASIAN","TEACHER,FULL TIME","F",57,0,"0","1340",34,"greater than or equal to 15",100800,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,57,"1340",34
"43","CAUCASIAN","TEACHER,FULL TIME","M",65,0,"0","8030",41,"greater than or equal to 15",100804,"teacher","60s",1,0,0,0,1,0,1,0,0,0,0,1,65,"8030",41
"44","AFRICAN AM","TEACHER,SPEC EDUCATION","F",57,0,"0","6070",29,"greater than or equal to 15",100812,"teacher","50s",1,0,0,0,1,1,0,0,0,0,1,0,57,"6070",29
"45","CAUCASIAN","TEACHER,PKHS,CERTIFIED","F",59,0,"0","7514",30,"greater than or equal to 15",100820,"non_classroom_teacher","50s",0,0,0,0,1,0,1,0,0,0,1,0,59,"7514",30
"46","CAUCASIAN","TEACHER,FULL TIME","F",66,0,"0","2210",24,"greater than or equal to 15",100824,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,66,"2210",24
"47","CAUCASIAN","TEACHER,FULL TIME","F",61,0,"0","6260",15,"greater than or equal to 15",100836,"teacher","60s",1,0,0,0,1,0,1,0,0,0,1,0,61,"6260",15
"48","AFRICAN AM","TEACHER,FULL TIME","F",63,0,"0","1330",22,"greater than or equal to 15",10084,"teacher","60s",1,0,0,0,1,1,0,0,0,0,1,0,63,"1330",22
"49","CAUCASIAN","TEACHER,FULL TIME","F",59,0,"0","8350",26,"greater than or equal to 15",100840,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,59,"8350",26
"50","CAUCASIAN","TEACHER,FULL TIME","F",58,0,"0","8090",29,"greater than or equal to 15",100852,"teacher","50s",1,0,0,0,1,0,1,0,0,0,1,0,58,"8090",29
